L,k,accuracy,build_time,search_time,memory_usage,touch_points
2,16,1,103.6008325,0.02962485,64,340.23
4,16,1,114.3053025,0.050863835,64,484.26
8,16,1,131.9813303,0.09416908,64,884.43
16,16,1,170.9889396,0.166075784,64,1549.04
2,32,1,109.3202969,0.003594237,64,13.28
4,32,1,127.4696745,0.009870149,64,19.44
8,32,1,165.2646473,0.021834138,64,33.56
16,32,1,240.7939769,0.058141668,64,54.67
2,64,1,117.6765112,0.006006663,64,11.22
4,64,1,157.645723,0.017242535,64,11.99
8,64,1,230.9418917,0.036846719,64,12.75
16,64,1,381.4789002,0.09384332,64,14.41
